[2025-08-08 14:01:08,810: INFO: main: welcome]
[2025-08-08 14:16:04,688: INFO: main: welcome]
[2025-08-08 22:25:51,137: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:25:51,143: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:33:13,561: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:33:13,564: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:33:41,817: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:33:41,824: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:35:50,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:35:50,697: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:35:50,700: INFO: common: created directory at: artifacts]
[2025-08-08 22:35:50,702: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-08 22:35:50,702: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 22:36:01,541: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 23:09:08,498: INFO: main: welcome]
[2025-08-08 23:09:48,642: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-08-08 23:09:48,647: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 23:09:48,647: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:09:48,647: INFO: common: created directory at: artifacts]
[2025-08-08 23:09:48,648: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-08 23:09:48,648: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 23:09:57,732: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 23:09:58,487: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
